time.decay.1	time.decay.2	time.decay.3	time.decay.4	time.decay.5	time.decay.6	
1.006428906498856435e+02 1.196717554680116820e+02 9.485477531697965503e+01 1.073219717010459959e+02 9.770503157128531768e+01 9.535193981227951099e+01
9.295421073065945450e+01 8.743124895681408759e+01 1.023382108246828750e+02 9.151517174977576019e+01 9.447142669533725723e+01 1.007569384590624963e+02
9.124160045125957197e+01 1.136796817322589845e+02 1.026049595718797605e+02 1.071277484365553505e+02 9.360446367617787189e+01 1.086790774489553826e+02
1.013196861468203309e+02 1.038321374768286205e+02 1.031318268532861566e+02 8.546682841675597331e+01 1.041871463842130510e+02 8.941957335924321626e+01
1.120197169324247000e+02 1.021774928890856131e+02 9.918696647962060808e+01 9.103302345642121907e+01 1.027956082217878020e+02 9.188273432880194491e+01
1.091239532998777122e+02 9.166941225514106861e+01 9.201575338629542955e+01 9.845085057805340512e+01 1.086567037362510320e+02 1.141035813607133633e+02
1.099288380788944011e+02 1.037415637346699953e+02 1.007302124225615643e+02 9.814183511081961342e+01 1.190839713000480344e+02 8.124602382043337911e+01
9.591072788563076301e+01 8.679806276313762226e+01 1.014887361592895445e+02 9.877259039532674478e+01 9.155204922839062931e+01 1.241172165453409377e+02
9.614434106252846846e+01 8.863482407748549008e+01 1.056858064627659672e+02 1.020497819904284427e+02 9.253823762595020241e+01 1.183260918518697480e+02
9.170775080773611876e+01 1.109392333193200670e+02 1.238016069237512937e+02 1.048541508899719759e+02 1.045876981147022775e+02 9.117050809120489419e+01
1.023075334702367201e+02 1.049890873150026351e+02 1.068168412473944073e+02 1.123922564089131413e+02 1.091722570519847579e+02 1.036084156832829137e+02
1.029742974756740921e+02 9.934233007476140642e+01 1.016980029803964669e+02 9.758438370160749287e+01 1.098333826269692111e+02 9.108402184654711675e+01
1.008284415253652497e+02 8.973734968088476194e+01 8.611676405520233857e+01 9.879088409108564406e+01 1.013290665674421120e+02 9.835667182714912826e+01
1.040161456444996020e+02 1.033553362439768080e+02 8.316774290974211681e+01 1.044761874669680566e+02 9.523863505786916051e+01 8.545626492941921981e+01
1.040669815753614387e+02 1.015763592506879007e+02 7.260584642888451867e+01 1.060964349824309920e+02 1.016983202654884337e+02 1.048835893831700332e+02
8.093916077143663301e+01 1.075380369850695388e+02 6.391327505071659232e+01 1.013199196084644313e+02 1.174257017786298007e+02 9.134519978471438151e+01
9.046815223546411744e+01 1.030083518487907384e+02 9.667872255197156051e+01 9.864473692396663296e+01 9.494717426509737379e+01 9.259523809417936491e+01
1.017114538466915263e+02 8.680923208630790100e+01 1.016859755907295835e+02 1.032911137408073898e+02 1.094996222824542400e+02 1.006847194160286278e+02
9.480578456406773569e+01 9.031185379494108645e+01 9.969532734415059849e+01 9.608694100398268745e+01 1.044874007836625651e+02 1.000179950199832177e+02
8.690925367201779750e+01 9.293695357800575607e+01 9.430765488309864963e+01 8.771336042240544373e+01 9.639644418985615459e+01 1.026335652126936253e+02
9.192411349674502219e+01 1.072870095473157335e+02 9.465062345398241916e+01 9.311696492606307629e+01 9.663195782480327978e+01 1.095571157416395494e+02
1.012345275298175977e+02 8.064342899453195912e+01 9.774611118303182877e+01 8.985398194798771954e+01 1.001720350434381999e+02 9.071863865460755960e+01
1.048988646610650335e+02 1.035852525637481136e+02 8.574485651741257186e+01 8.950711941743902855e+01 8.511162182931124676e+01 9.246297053235582553e+01
9.186110747372052288e+01 1.067148116577599808e+02 1.038609127551399922e+02 9.176597174182759886e+01 1.102917252876480063e+02 8.902182132905399214e+01
9.963164773712348676e+01 1.013537095119042988e+02 9.797944922806576074e+01 1.096418618047395057e+02 9.246283066535441719e+01 8.888108593479266517e+01
1.062276271183386456e+02 1.060737960843527645e+02 9.667298429705213891e+01 1.201412276073782550e+02 1.068185503887438017e+02 1.006742775895592956e+02
1.055257586178600349e+02 9.547943077237485454e+01 8.831121745651994104e+01 1.219419086210722014e+02 1.108060155853253690e+02 1.006420843301257264e+02
9.854884933639181099e+01 9.133707637105055710e+01 9.989094948425965015e+01 1.143316182753763712e+02 9.603326290172827839e+01 9.809062413198765285e+01
1.013657361209134535e+02 9.130427659286782216e+01 1.081549766143005797e+02 1.106037487452066728e+02 1.003337296981576401e+02 9.810909307219856146e+01
1.087680564706239181e+02 1.015795879891605438e+02 9.849324692237337331e+01 1.105853559121115381e+02 8.910892694635086286e+01 1.081847554159247693e+02
1.105358601372324188e+02 1.025379490551170818e+02 8.138391786251619919e+01 8.898758895387126699e+01 1.072104278972408764e+02 7.683646439129806538e+01
1.004142316458427615e+02 1.045423675797827343e+02 1.248869162666458124e+02 8.881502451782991159e+01 1.002729377216422222e+02 1.194573558241071680e+02
1.075331920229341875e+02 1.121687531296397822e+02 1.226112782678438720e+02 9.702724498568247213e+01 1.057904063545754525e+02 9.457881422680395644e+01
1.051306822172348348e+02 9.683083004363794544e+01 8.245616580265715356e+01 1.022025717016305606e+02 1.058714119423185878e+02 9.300794077055182640e+01
8.948265150422787428e+01 8.816724919688404327e+01 1.013726377332959458e+02 1.225070259280814042e+02 9.731544975736434822e+01 9.241096417254402695e+01
8.918749772302744816e+01 9.713532596436753863e+01 8.109748526898847842e+01 8.029960673401542692e+01 1.005440407780117624e+02 9.097341410705915621e+01
8.780370540768673493e+01 9.744846126399039576e+01 1.131229249895927467e+02 8.742149130166023951e+01 1.003195286603847620e+02 1.056024809959813524e+02
9.554481537609106567e+01 9.360780474842906074e+01 1.137132692084141894e+02 1.088167219517680593e+02 1.006182133900202302e+02 1.056512160584297249e+02
8.729305995856267941e+01 9.480021812200575937e+01 8.556023043914399295e+01 9.682897942041340400e+01 1.066896540898381289e+02 9.046023945367115005e+01
8.591927230684211736e+01 9.962356693029668975e+01 8.888583690261407355e+01 9.884693312237055807e+01 1.029317324492189556e+02 1.190850031848699189e+02
1.024194942922859468e+02 9.710442599555003085e+01 1.148249631497501611e+02 1.080462026115128396e+02 1.075135121542035677e+02 1.030583127196645421e+02
1.270841390054350484e+02 1.148176928787155475e+02 7.992347581858827255e+01 1.020951619079650357e+02 1.031699823687783777e+02 9.598784561693888406e+01
1.020260842692322285e+02 8.181766597444962485e+01 9.294456084241544147e+01 1.152267146978048515e+02 9.588769255413727421e+01 9.855631531614832852e+01
9.907046786605403099e+01 8.150653216986576410e+01 9.637931258562591097e+01 1.045673044198446746e+02 1.016485383705565084e+02 9.935204885363370408e+01
8.477319160104318030e+01 1.220948387137043198e+02 1.007369989307126161e+02 9.182856260504962620e+01 1.041361156237670400e+02 9.318353271398282800e+01
8.377070187577254501e+01 1.118460093408232296e+02 9.101997756966319741e+01 9.760918743213277082e+01 1.060223853974538883e+02 9.241497886463984912e+01
8.778138185723587128e+01 9.274118748267903811e+01 9.780125181483298036e+01 9.707020861456658167e+01 9.257537542304847022e+01 9.338157003000782197e+01
8.896612781259882752e+01 9.301934137623547372e+01 9.283931438204622566e+01 9.838144167312312049e+01 9.213040919642602944e+01 9.189444789159924198e+01
9.346737246058464166e+01 1.183466714374068118e+02 1.067933872217932390e+02 1.050015296813683676e+02 8.904684652330843164e+01 8.928667250705468916e+01
9.297448271330395642e+01 1.201000462763193184e+02 8.515789101593182409e+01 1.056359264060550345e+02 8.437449044789539698e+01 9.785390112268014207e+01
1.061660722752496611e+02 9.063929942931008554e+01 1.008015770534078115e+02 9.967569417061406511e+01 9.185420875101149818e+01 1.017228575000983994e+02
9.190170788502081223e+01 9.580245882508981481e+01 1.094503967017728172e+02 1.023919836800228325e+02 8.722602340416089817e+01 1.045090895579356811e+02
1.059524522477711059e+02 1.162992094508643959e+02 9.120057953372504755e+01 9.545420034973983547e+01 1.018105490831175359e+02 1.017729277558065064e+02
8.654656502359728165e+01 1.139177706732709652e+02 9.840622686970510813e+01 9.284097374632472111e+01 1.160754709442137198e+02 1.057409352921943650e+02
1.080676837128758336e+02 9.718265370827151628e+01 9.139616048636084145e+01 8.969455407434537619e+01 8.293557057670790300e+01 1.195048823789886114e+02
9.308257594449693784e+01 1.075436063286040849e+02 1.134998979745490715e+02 9.587609780343581178e+01 9.020807437963539144e+01 8.739119004869488094e+01
9.725689122273035991e+01 8.589023366707942841e+01 8.334055949710838718e+01 9.893140682309230272e+01 1.013685496677163371e+02 1.049846304148410638e+02
9.948512352923596325e+01 1.024928351107805042e+02 9.042932120653618711e+01 9.394891499313303029e+01 1.028614957777015206e+02 1.190164997650687724e+02
9.089091454834650108e+01 9.919853084373785634e+01 8.359148308770795666e+01 1.097319369200291703e+02 1.009910147731750953e+02 9.986687987375317732e+01
8.834795955970962211e+01 9.714749981600381545e+01 8.663563585784014265e+01 1.068617984983541049e+02 1.002286062260421460e+02 9.908373435490806003e+01
9.177023163816151907e+01 9.647936304836467514e+01 1.134672063842878202e+02 1.168015298051777791e+02 9.920569492099976117e+01 9.602805765981167951e+01
9.365239195209440481e+01 1.013741509770379849e+02 9.686837463651590951e+01 1.030516768425694210e+02 9.285282786672665623e+01 1.073005509774584425e+02
9.634884848360562160e+01 1.096157866924045976e+02 9.420378984930330546e+01 9.166809747252332841e+01 1.125482845264117771e+02 1.081019395613003553e+02
