log.prior	log.likelihood	log.likelihood.test.set
-1.384548986040836780e+03 -1.196621760951235501e+03 -9.306113785835972863e+01
-1.378838034033868098e+03 -1.192596295445259329e+03 -9.247904340367119858e+01
-1.373496264049608044e+03 -1.194411854571829508e+03 -9.183884719035395960e+01
-1.353881149894615419e+03 -1.201545600087280945e+03 -9.236546682702336852e+01
-1.364815820463725231e+03 -1.201143722678192262e+03 -9.194871798196828649e+01
-1.367384308486110740e+03 -1.205099559387537511e+03 -9.209907164712117833e+01
-1.362225594674874628e+03 -1.199754141266541410e+03 -9.205305982743195159e+01
-1.359131759475086710e+03 -1.201445236281847428e+03 -9.267022839373547072e+01
-1.351946529085896600e+03 -1.198900364166081090e+03 -9.256783626191085546e+01
-1.347369920997452482e+03 -1.200788094782160670e+03 -9.164180455228557776e+01
-1.344708603822400619e+03 -1.200427047222215606e+03 -9.026071909577433416e+01
-1.358365466037008673e+03 -1.190678200017777044e+03 -9.063424042843860207e+01
-1.353569968615391872e+03 -1.192491607521767719e+03 -9.061724217496296774e+01
-1.352947252783201520e+03 -1.196387787470620424e+03 -9.105104360909717798e+01
-1.343810197803583151e+03 -1.196999301447012840e+03 -9.124633410497901309e+01
-1.328352752641497545e+03 -1.201219332155161283e+03 -9.201577608199085034e+01
-1.318991734479579463e+03 -1.197971087815567898e+03 -9.091831950401706308e+01
-1.304751723844183743e+03 -1.199144158378624297e+03 -9.095923352857545297e+01
-1.317141381969957365e+03 -1.203169972663616136e+03 -9.287044043683900441e+01
-1.305507041733354527e+03 -1.207398633547441477e+03 -9.302757361789755919e+01
-1.326306609319203972e+03 -1.212582487436113752e+03 -9.259020251507183730e+01
-1.336383574542298902e+03 -1.226845575969047786e+03 -9.477873145854229620e+01
-1.350667465148412248e+03 -1.217253997200103868e+03 -9.137029387571570282e+01
-1.345904203632430608e+03 -1.211271161131585131e+03 -9.141337178185207790e+01
-1.347351121347024218e+03 -1.202516323756793554e+03 -9.170059226203170510e+01
-1.346029973498501022e+03 -1.204634796921683574e+03 -9.163071133030905457e+01
-1.333528689569650851e+03 -1.210082263322096196e+03 -9.232310881415224912e+01
-1.322188067610645248e+03 -1.210740571184283681e+03 -9.167002579215673563e+01
-1.328506653450095200e+03 -1.204866353781174439e+03 -9.254712536133595790e+01
-1.311361415076411504e+03 -1.203841906284741299e+03 -9.352918782783035567e+01
-1.336396228034085880e+03 -1.204713477659252931e+03 -9.443078857633852863e+01
-1.348988461776462600e+03 -1.201793490224438301e+03 -9.478254479391168275e+01
