influence.1.1		influence.1.2		influence.1.3		influence.1.4		influence.1.5		influence.1.6		influence.2.1		influence.2.2		influence.2.3		influence.2.4		influence.2.5		influence.2.6		influence.3.1		influence.3.2		influence.3.3		influence.3.4		influence.3.5		influence.3.6		influence.4.1		influence.4.2		influence.4.3		influence.4.4		influence.4.5		influence.4.6		influence.5.1		influence.5.2		influence.5.3		influence.5.4		influence.5.5		influence.5.6		influence.6.1		influence.6.2		influence.6.3		influence.6.4		influence.6.5		influence.6.6		
0.000000000000000000e+00 8.064466122984939034e+00 8.953937982470419499e+00 2.158063927023876061e-02 1.094690590650285178e-01 2.539373180386199635e+00 1.282984429542417240e-04 0.000000000000000000e+00 3.997731934281532062e-01 3.491799732462326222e+00 2.775906816026942059e-03 8.015491390063278487e+00 1.677371059462175835e-03 4.127706010441217543e+00 0.000000000000000000e+00 7.523444775626614955e+00 3.577604761587663273e-02 1.894678032734239848e+00 3.641338276862977463e-04 1.223648726310236735e-07 9.666772333433652748e-06 0.000000000000000000e+00 1.916504411113493234e+00 8.448648548614642873e-03 8.355162885760547553e+00 3.894121757035811596e-03 4.029405284186776714e-06 1.130801009765537435e+00 0.000000000000000000e+00 7.458485689851344913e-02 8.394902429864004034e+00 7.134507990600795324e+00 2.952084160643918836e-17 6.419447026132030221e-01 3.930981438807688910e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.521519800180900717e+00 2.354408928305111726e+00 7.640665226879038603e-03 2.098884215261606345e-01 1.268809326976055862e+00 7.799815741015470212e-05 0.000000000000000000e+00 4.386138571537387953e+00 7.252028915298826206e+00 8.426071560485728180e-04 5.551970550105238544e+00 1.049497065566631264e-03 2.214522178797073693e+00 0.000000000000000000e+00 6.502294000900539217e+00 2.591985700167202811e-02 2.312858381502528982e+00 4.822523134641742851e-04 3.791103834298386458e-07 9.181910307232476001e-05 0.000000000000000000e+00 1.597191656582925834e+00 2.127101955228969873e-03 6.679044715729622439e+00 5.259412738531572817e-02 6.599146157215553888e-08 4.380746766578331175e-01 0.000000000000000000e+00 3.311841648574374020e-01 9.492437860826601792e+00 6.871327207849941665e+00 1.707842457867904768e-16 7.793642748008137167e-01 1.183290750951667691e+00 0.000000000000000000e+00
0.000000000000000000e+00 8.059710168914836714e+00 7.947503118333481886e+00 3.073799833590083568e-03 3.784585039301606446e-02 1.629975023120974864e+00 1.560839037851532302e-03 0.000000000000000000e+00 7.673209380338201768e+00 6.237873578118227513e+00 9.304222462725578245e-05 4.499052098084856510e+00 5.383682819265828883e-04 2.368748836815598224e+00 0.000000000000000000e+00 5.211845476944985123e+00 8.449917774868992426e-02 3.358038909209611234e+00 3.078868537183883001e-04 2.203832518472311855e-07 4.034831892615940263e-04 0.000000000000000000e+00 1.613759144430264136e+00 4.083364680764225941e-04 7.365501172079486736e+00 3.502115703044625383e-02 6.271499587580172563e-07 1.251997789761243873e-01 0.000000000000000000e+00 5.787513981334998503e-01 9.519985694850166880e+00 8.458440200071130732e+00 1.201855905722485179e-16 6.048401350557315315e-01 8.491792543778242219e+00 0.000000000000000000e+00
0.000000000000000000e+00 6.463528655981710003e+00 5.750077253886658468e+00 2.737752847299678750e-03 1.351409997340906888e-01 1.731590278580372733e+00 1.009201620498057991e-02 0.000000000000000000e+00 6.752300167513842766e+00 5.765602481156260062e+00 3.105303711050228204e-05 2.193644866689240802e-01 1.064617068625514683e-03 6.957231016335598817e+00 0.000000000000000000e+00 4.049599257611652625e+00 2.038248376788965310e-01 5.836389068304429273e+00 3.610409318861070439e-04 9.699572105928395265e-08 1.667408118407110503e-04 0.000000000000000000e+00 1.978057994417852461e+00 3.199455548166567831e-04 2.168346648750267835e+00 2.126225613715143625e-03 3.395896470004554994e-06 9.058381259472883529e-02 0.000000000000000000e+00 8.010790639878702102e-01 8.524619231742693870e+00 6.278547126020795233e+00 6.760003526449792980e-16 2.241383403572834165e+00 8.792071445033837307e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.371218423300268441e+00 9.005681707249275192e+00 1.743470961549230215e-03 8.925465388207337591e-02 1.605629567464889274e+00 6.326475502063701184e-03 0.000000000000000000e+00 6.932673986490769380e+00 2.687300667273632815e+00 3.959238975119823065e-05 1.726104470281465408e+00 3.705477745651756909e-03 5.454891191065240896e+00 0.000000000000000000e+00 8.305621571940305259e+00 1.705512993578854331e-01 1.369288941161415085e+00 1.473089929288889611e-05 7.792631975795958279e-08 8.683153412477420154e-04 0.000000000000000000e+00 5.416210141000145306e+00 3.174660506014468329e-04 6.081372558587725408e+00 1.896189846054353043e-03 1.200235037643020088e-06 1.251338371485961332e-01 0.000000000000000000e+00 2.059242992333104372e+00 9.237923128063862066e+00 1.588495171129363559e+00 4.980630260890252398e-16 7.112332620058882782e+00 1.573136154176733026e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.878123532738175783e+00 6.449910519791946406e+00 1.055053211895715624e-03 1.609721084103443722e-01 7.433684704420628897e+00 1.728775136289947140e-02 0.000000000000000000e+00 7.852613885664741389e+00 5.994243082268343237e+00 6.113299358124507049e-06 3.100512483847097212e+00 6.158474237284155693e-05 1.787474387579524038e-01 0.000000000000000000e+00 1.923980013484401619e+00 1.465439483473141291e-01 4.111369480656078323e+00 1.769780735395457149e-05 9.805189124155490884e-08 9.281990954828201043e-04 0.000000000000000000e+00 3.230256723760054349e+00 4.898774782713463541e-04 4.103097371786867953e+00 6.175395583022686308e-04 1.656522559931612289e-06 1.646801548033295925e-01 0.000000000000000000e+00 9.489499233580247051e+00 8.183100826779641679e+00 1.470506555177520713e+00 1.388930492938728325e-15 5.199691538735949692e+00 5.554625989008695086e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.419124388305245787e+00 4.661960065648859342e+00 2.608260834381310837e-03 8.550704761069662097e-02 5.404535929197601618e+00 1.633995029760540105e-02 0.000000000000000000e+00 9.896725393993879294e+00 6.379603687947231094e+00 4.260177562351525468e-06 5.038560051909828086e-02 7.928972091414713749e-05 9.204164589687627851e-01 0.000000000000000000e+00 3.493560886271015242e+00 2.114767385186685500e-01 7.032629189622658927e+00 9.326397393258617523e-07 8.967099791865875317e-09 7.607144363777501865e-05 0.000000000000000000e+00 4.193751306840836079e+00 2.140166694269994888e-04 5.044948131763159260e+00 3.255884015350395664e-04 1.649292011279882936e-06 1.658314034398086778e-01 0.000000000000000000e+00 9.385833442954369943e+00 7.710043381029302978e+00 1.017575238025352657e+00 3.521868498367437416e-16 2.911145381627580075e+00 1.629050271110723536e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.641718565423545328e+00 7.878734634363765643e+00 5.293966633255915363e-03 9.633907973193306384e-02 1.325520942789725432e+00 3.726028855767440223e-02 0.000000000000000000e+00 6.267993631899707374e+00 7.071662754133387629e+00 8.987593685042316919e-06 6.455555477166248328e-03 5.440046478193665279e-05 1.267539959960464202e+00 0.000000000000000000e+00 6.612523362269513427e+00 1.707332704922702171e-01 8.828129361929027752e+00 3.923192178397589834e-06 1.310629437014832802e-09 6.891175446713128762e-04 0.000000000000000000e+00 6.221717825227094600e+00 1.627797531411519227e-04 5.675461134089887061e+00 2.370890079719382743e-04 1.817276107333298774e-06 1.090490589949087430e-01 0.000000000000000000e+00 9.040911966607088956e+00 6.580153801446892992e+00 7.629097127458461358e+00 1.458328871720685672e-16 3.306538221540594513e+00 3.678200246702819420e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.453636717965842706e+00 7.246156642630989353e+00 6.529678552199395282e-03 2.568440222962874997e-01 1.632448138556238160e+00 1.716459376756725164e-02 0.000000000000000000e+00 3.568153953174346693e-01 6.270447840653037730e+00 7.780635972934332538e-05 3.257385406102853830e-03 2.122191346889852343e-04 4.346829013935497699e+00 0.000000000000000000e+00 7.632588366544151626e+00 4.080606804462513781e-02 2.762416963079206145e-01 3.164462565682501868e-06 2.097326066558211386e-09 5.381967327440165808e-06 0.000000000000000000e+00 1.721099954524066611e+00 1.724019195584988772e-04 7.414356409074125409e+00 8.205033942034328776e-05 3.356926683114412461e-06 1.846843131221439019e-02 0.000000000000000000e+00 8.463645223582034305e+00 8.827544827188745558e+00 7.279957579598354656e+00 5.663848912952121351e-16 3.067953613061093154e+00 6.020165265290917667e+00 0.000000000000000000e+00
0.000000000000000000e+00 6.898255243619759725e+00 9.433567400198061392e+00 6.475275910695696760e-03 1.440804610701691968e-01 1.240082718321481314e+00 1.591120706178112201e-03 0.000000000000000000e+00 5.580665184763664577e-01 8.610282352171040543e+00 1.011892785078333148e-04 3.028947927926349624e-03 2.749248533873987913e-04 3.692379316427131464e+00 0.000000000000000000e+00 3.766511312848395132e+00 1.906856754510662458e-03 1.099350706028328073e+00 2.578045632887549144e-06 1.482446125811655869e-09 2.693275959858676943e-06 0.000000000000000000e+00 6.274377491557447950e-01 4.309623764561670527e-06 3.345823318050605621e+00 2.693426901265715012e-04 1.220465322754893840e-05 1.398658624902759419e-02 0.000000000000000000e+00 3.142203875704004723e+00 7.828263411973698460e+00 2.711426420873814802e+00 2.465061877369062818e-15 1.589757564726787864e+00 9.992882968874752692e+00 0.000000000000000000e+00
