word.concentration.1	word.concentration.2	word.concentration.3	word.concentration.4	word.concentration.5	word.concentration.6	
9.228454011105846178e+00 9.888243346631828246e+00 9.415292973158788215e+00 9.420138891725612140e+00 9.373518329797231985e+00 8.604301320305854262e+00
9.600079614602483602e+00 9.982579523707734381e+00 9.003181090909103901e+00 8.831651648932666632e+00 6.774539426242698781e+00 8.198916707866587217e+00
8.368735988732037612e+00 9.921373998761005453e+00 9.441550966469927531e+00 9.436819867890074320e+00 8.873801178399910228e+00 7.252565600587451478e+00
9.447582126716046247e+00 9.642842128156878800e+00 8.997918814019227440e+00 9.022138022076092057e+00 4.352601107793951485e+00 7.276434370792795647e+00
8.799127258263380824e+00 9.919125727494774836e+00 9.473740797827378657e+00 7.473973284445636800e+00 9.556619605202186563e+00 7.674042424376167126e+00
9.702796765999714523e+00 8.576941708974965550e+00 9.945257755976451008e+00 9.424689947457993711e+00 8.509440901693045234e+00 8.285788821363764711e+00
9.376240895260291808e+00 9.415507316579397212e+00 8.958589029153056771e+00 8.722466172948610819e+00 7.735852735516592027e+00 7.798184171617729810e+00
9.853129222346979077e+00 8.145016274877239226e+00 8.326335235245693411e+00 9.489648149780197883e+00 7.665547354983271333e+00 8.587772723030596467e+00
8.658498740037618546e+00 8.070739561258799100e+00 8.272715616600356370e+00 7.654246144597723678e+00 6.166624608535812513e+00 8.768034328955074841e+00
9.698883467896028066e+00 9.964832314732989360e+00 8.610572141062743157e+00 9.318365264158835259e+00 6.254348127588441386e+00 9.745820234250983205e+00
9.521420577385409700e+00 9.675604436640153239e+00 9.937952325302081391e+00 9.001000075980682524e+00 8.284308457435576756e+00 9.642102626893223061e+00
9.499813763612769080e+00 9.832681401108160912e+00 9.671175902534425717e+00 9.659178435633661408e+00 7.360444395149194463e+00 9.873863073279361302e+00
9.809420645690179796e+00 9.617300928029351326e+00 9.453807346091052111e+00 5.370067088251657239e+00 7.786443251777314778e+00 9.171822937351826965e+00
6.598353129118114779e+00 9.832446573804636714e+00 8.181402361207126717e+00 9.373288387867514615e+00 8.513082402061469267e+00 8.417364075238612742e+00
7.649815842713191039e+00 9.792073683991921129e+00 8.259017096007085001e+00 9.370540437230058473e+00 9.222617703166363867e+00 9.373257924137561758e+00
6.824691335082320620e+00 8.820453845159253348e+00 7.667257256495624951e+00 9.151325794348672105e+00 7.174943003457545210e+00 8.561516235830554322e+00
7.353539804937076596e+00 9.164082370017121448e+00 9.561520146535185560e+00 8.943020076135963947e+00 7.924204794018699261e+00 8.436066711684508945e+00
8.062449984136918602e+00 8.732094254197612315e+00 7.695202815977792099e+00 9.588240819494181721e+00 7.396442367197781032e+00 8.840042067980917295e+00
9.290100861556844336e+00 8.662725266321901429e+00 9.138603501771790150e+00 8.854869916723696832e+00 8.225252671937139937e+00 9.455158813960016673e+00
9.297726858315176202e+00 9.873356887314843178e+00 8.948873401850136133e+00 7.959252339223677808e+00 7.746810565841954599e+00 8.097910997592510540e+00
9.245006410888176873e+00 9.852062645025448262e+00 8.369095186363569638e+00 9.854278398004707284e+00 6.440616732734672389e+00 8.821217098018472313e+00
9.335617119043032375e+00 9.593814375630694613e+00 4.998537035159899666e+00 9.734089707430598537e+00 8.618837770733808412e+00 9.805499569962853101e+00
8.134315079152361960e+00 9.850470197799698013e+00 9.084346869556235049e+00 6.551942765465154750e+00 9.064073511413617723e+00 9.567179090083373083e+00
9.185605720906949045e+00 8.216123247018160214e+00 9.221963113507213095e+00 7.702009448028759309e+00 6.169362956906853768e+00 7.835021758315825480e+00
9.125924647381218335e+00 8.998870056078921209e+00 9.152742143793281215e+00 7.900916670023907074e+00 9.766765450992441089e+00 9.055172906679477052e+00
9.460220735928421831e+00 9.614520993935427029e+00 8.813341780557285787e+00 9.347110600734371388e+00 6.455786337690716081e+00 7.823598766982568620e+00
9.956134999369790961e+00 9.433634988722001680e+00 9.594041732997400374e+00 8.581581798748576517e+00 9.920801072154119993e+00 8.015691374973687999e+00
9.957304284095727098e+00 9.456752427531641914e+00 5.093350339020985551e+00 9.766483191140187259e+00 9.405225275523733330e+00 8.549749718618166128e+00
9.972537657795319532e+00 9.276725723084922492e+00 9.738100077595285953e+00 8.614462170248812001e+00 9.431204197356629848e+00 8.379517593148250398e+00
9.459416795693909918e+00 9.579817057403044345e+00 9.367105050904056540e+00 8.875946705163970663e+00 9.674157933288805467e+00 8.775684629573497375e+00
9.592173483027497838e+00 9.580491047251213033e+00 6.466344628984437293e+00 6.438558593782404138e+00 9.874022399706142039e+00 8.473954145573536323e+00
9.743317876607072492e+00 9.685889829488631975e+00 8.714542555569783744e+00 9.573986703821624644e+00 9.450597879298296533e+00 8.622050118364409599e+00
8.757467333051851099e+00 9.921087448593416624e+00 8.855094430113341630e+00 8.732367882213591059e+00 8.433253292657363787e+00 7.052803018315995764e+00
8.977511031215527737e+00 6.417290014672037302e+00 8.372836258467390991e+00 8.451296965894824709e+00 3.188649154001597097e+00 9.506991277081146663e+00
