word.1	word.2	word.3	word.4	word.5	word.6	word.7	word.8	word.9	word.10	word.11	word.12	word.13	word.14	word.15	word.16	word.17	word.18	word.19	word.20	word.21	word.22	word.23	word.24	word.25	word.26	word.27	word.28	word.29	word.30	word.31	word.32	word.33	word.34	word.35	word.36	word.37	word.38	word.39	word.40	word.41	word.42	word.43	word.44	word.45	word.46	word.47	word.48	word.49	word.50	word.51	word.52	word.53	word.54	word.55	word.56	word.57	word.58	word.59	word.60	word.61	word.62	word.63	word.64	word.65	word.66	word.67	word.68	word.69	word.70	word.71	word.72	word.73	word.74	word.75	word.76	word.77	word.78	word.79	word.80	word.81	word.82	word.83	word.84	word.85	word.86	word.87	word.88	word.89	word.90	
0.0453850 0.0248007 0.0234921 0.0210965 0.0160703 0.0127737 0.0210776 0.0270707 0.0095221 0.0105624 0.0171731 0.0097597 0.0117556 0.0089884 0.0085036 0.0138685 0.0101640 0.0094084 0.0095207 0.0099426 0.0091495 0.0099153 0.0084920 0.0093127 0.0112611 0.0171025 0.0169920 0.0099434 0.0103756 0.0095105 0.0095803 0.0092484 0.0092882 0.0097543 0.0107162 0.0105239 0.0096081 0.0109197 0.0096842 0.0088220 0.0090343 0.0090751 0.0086288 0.0090656 0.0088135 0.0127166 0.0126920 0.0098887 0.0102144 0.0102212 0.0097241 0.0101014 0.0098066 0.0095296 0.0089009 0.0086249 0.0088705 0.0090857 0.0090749 0.0090178 0.0092564 0.0088192 0.0084947 0.0087222 0.0085024 0.0095576 0.0080228 0.0083650 0.0090120 0.0098167 0.0088281 0.0090105 0.0087813 0.0087782 0.0088943 0.0091952 0.0088514 0.0099060 0.0098354 0.0101437 0.0100544 0.0092775 0.0096424 0.0095130 0.0096053 0.0097523 0.0099667 0.0087976 0.0086104 0.0097647
0.0299138 0.0163495 0.0246912 0.0188901 0.0184049 0.0141978 0.0148299 0.0197756 0.0112503 0.0093376 0.0110005 0.0098162 0.0139376 0.0100227 0.0099833 0.0102505 0.0099003 0.0106432 0.0109230 0.0103163 0.0096281 0.0101081 0.0094141 0.0097958 0.0097541 0.0110109 0.0099364 0.0138867 0.0140488 0.0136562 0.0104702 0.0107686 0.0108810 0.0097068 0.0093482 0.0098145 0.0096043 0.0096153 0.0095156 0.0099857 0.0100367 0.0099660 0.0100432 0.0097503 0.0096492 0.0094516 0.0098485 0.0138316 0.0094434 0.0096294 0.0097554 0.0095640 0.0137605 0.0100128 0.0104719 0.0107937 0.0110520 0.0114261 0.0102513 0.0099400 0.0097166 0.0099860 0.0103952 0.0098879 0.0099444 0.0100688 0.0100652 0.0104044 0.0094490 0.0095070 0.0098119 0.0100283 0.0098130 0.0097603 0.0094933 0.0102903 0.0095007 0.0097011 0.0096086 0.0098769 0.0099051 0.0100644 0.0094386 0.0102886 0.0102289 0.0095659 0.0098181 0.0095733 0.0097453 0.0100016
0.0478730 0.0261584 0.0346278 0.0278845 0.0256819 0.0173589 0.0181604 0.0259850 0.0109064 0.0085653 0.0103935 0.0101417 0.0153711 0.0091770 0.0081339 0.0108102 0.0092761 0.0108060 0.0094687 0.0098289 0.0088196 0.0083132 0.0116127 0.0091864 0.0087209 0.0102554 0.0107910 0.0150128 0.0164371 0.0153408 0.0098857 0.0079526 0.0085679 0.0089527 0.0083443 0.0082600 0.0093691 0.0084758 0.0095099 0.0081499 0.0103137 0.0083407 0.0083290 0.0083840 0.0085514 0.0084406 0.0082023 0.0147016 0.0090159 0.0092412 0.0094649 0.0089440 0.0153189 0.0092399 0.0099171 0.0102187 0.0106843 0.0102932 0.0082331 0.0085913 0.0092359 0.0092562 0.0094123 0.0087391 0.0093718 0.0082100 0.0093846 0.0090169 0.0090782 0.0088289 0.0082927 0.0083973 0.0086747 0.0082734 0.0080867 0.0081359 0.0083540 0.0083682 0.0080449 0.0086617 0.0081394 0.0077513 0.0083408 0.0082614 0.0084797 0.0083120 0.0083282 0.0082442 0.0088006 0.0085268
0.0298143 0.0163288 0.0246176 0.0188423 0.0184253 0.0141762 0.0148092 0.0197293 0.0112559 0.0093422 0.0110060 0.0098206 0.0139163 0.0100277 0.0099882 0.0102554 0.0099048 0.0106484 0.0109961 0.0103214 0.0096328 0.0101131 0.0094188 0.0098007 0.0097589 0.0110163 0.0099409 0.0138660 0.0140272 0.0136347 0.0104753 0.0107739 0.0108864 0.0097115 0.0093528 0.0098193 0.0096090 0.0096200 0.0095203 0.0099906 0.0100417 0.0099709 0.0100481 0.0097551 0.0096539 0.0094560 0.0098531 0.0138107 0.0094476 0.0096337 0.0097598 0.0095683 0.0137391 0.0100173 0.0104771 0.0107990 0.0110574 0.0114317 0.0102564 0.0099449 0.0097214 0.0099909 0.0104003 0.0098928 0.0099493 0.0100738 0.0100701 0.0104095 0.0094536 0.0095117 0.0098167 0.0100332 0.0098178 0.0097651 0.0094979 0.0102953 0.0095054 0.0097059 0.0096133 0.0098817 0.0099100 0.0100693 0.0094432 0.0102936 0.0102340 0.0095706 0.0098229 0.0095780 0.0097501 0.0100066
0.0492610 0.0258745 0.0342468 0.0275780 0.0254047 0.0171828 0.0179720 0.0257015 0.0108026 0.0084879 0.0102944 0.0100500 0.0152129 0.0090940 0.0080604 0.0107055 0.0091923 0.0107031 0.0093831 0.0097401 0.0087399 0.0082381 0.0115078 0.0091034 0.0086421 0.0101576 0.0106865 0.0148583 0.0162693 0.0151830 0.0097910 0.0098056 0.0104153 0.0088718 0.0082689 0.0081853 0.0092844 0.0083992 0.0094240 0.0080763 0.0102205 0.0082654 0.0082537 0.0083082 0.0084741 0.0083643 0.0081282 0.0145498 0.0089344 0.0091577 0.0093793 0.0088632 0.0151612 0.0091564 0.0098222 0.0101210 0.0105824 0.0101949 0.0100835 0.0104385 0.0091524 0.0091725 0.0093272 0.0086601 0.0092871 0.0081359 0.0092998 0.0089354 0.0089962 0.0087492 0.0082178 0.0083214 0.0085963 0.0081986 0.0080136 0.0080624 0.0082785 0.0082926 0.0079722 0.0085834 0.0080659 0.0076812 0.0082654 0.0081867 0.0084031 0.0082369 0.0082529 0.0081697 0.0087210 0.0084497
0.0610331 0.0421731 0.0276562 0.0390800 0.0143311 0.0107456 0.0176349 0.0226370 0.0151569 0.0088931 0.0143821 0.0082080 0.0098977 0.0075678 0.0071597 0.0116367 0.0085484 0.0159135 0.0088656 0.0083713 0.0077035 0.0083483 0.0071499 0.0078410 0.0094814 0.0143226 0.0142332 0.0083720 0.0087265 0.0080074 0.0152059 0.0149562 0.0149898 0.0082127 0.0090226 0.0088607 0.0080897 0.0091939 0.0081537 0.0074278 0.0076065 0.0076408 0.0072651 0.0076329 0.0074206 0.0106730 0.0106524 0.0083259 0.0085908 0.0085965 0.0081779 0.0084956 0.0082567 0.0080141 0.0146339 0.0144015 0.0146083 0.0147895 0.0148102 0.0147621 0.0086458 0.0082776 0.0080044 0.0081960 0.0080110 0.0080471 0.0067549 0.0070430 0.0075878 0.0082653 0.0074329 0.0075865 0.0073935 0.0073909 0.0074887 0.0077420 0.0074525 0.0083405 0.0082810 0.0085406 0.0084654 0.0078113 0.0081185 0.0080096 0.0080873 0.0082111 0.0083916 0.0074072 0.0072496 0.0082215
0.0465836 0.0377473 0.0456630 0.0327199 0.0240328 0.0162638 0.0170077 0.0309468 0.0102302 0.0080414 0.0097489 0.0095214 0.0210331 0.0086157 0.0076364 0.0101369 0.0087088 0.0101359 0.0088896 0.0092278 0.0082802 0.0078047 0.0109025 0.0086245 0.0081875 0.0096193 0.0101190 0.0140618 0.0153983 0.0143692 0.0092718 0.0092856 0.0098632 0.0150407 0.0078339 0.0077548 0.0087960 0.0079574 0.0089283 0.0076515 0.0096829 0.0078306 0.0078196 0.0078712 0.0080284 0.0079244 0.0077007 0.0137696 0.0084645 0.0086760 0.0088860 0.0083970 0.0143486 0.0086748 0.0093013 0.0095845 0.0100216 0.0096544 0.0095489 0.0098853 0.0086710 0.0086900 0.0088366 0.0082046 0.0087986 0.0077079 0.0088106 0.0084654 0.0085230 0.0082890 0.0077855 0.0078837 0.0081441 0.0077674 0.0075921 0.0076383 0.0078430 0.0078564 0.0075529 0.0081320 0.0076416 0.0072772 0.0078307 0.0077561 0.0079611 0.0078036 0.0078188 0.0077399 0.0082623 0.0080053
0.0608800 0.0429237 0.0275947 0.0389867 0.0143052 0.0107304 0.0175981 0.0225881 0.0151272 0.0088815 0.0143538 0.0081961 0.0098848 0.0075580 0.0071504 0.0116165 0.0085360 0.0158816 0.0088528 0.0092115 0.0076935 0.0083374 0.0071406 0.0078307 0.0094690 0.0142944 0.0142055 0.0083610 0.0087139 0.0079970 0.0151761 0.0149267 0.0149602 0.0082020 0.0090109 0.0088491 0.0080791 0.0091819 0.0081431 0.0074181 0.0075966 0.0076309 0.0072556 0.0076229 0.0074109 0.0106549 0.0106342 0.0083150 0.0085784 0.0085841 0.0081661 0.0084834 0.0082459 0.0080025 0.0146049 0.0143728 0.0145793 0.0147603 0.0147809 0.0147329 0.0086333 0.0082657 0.0079928 0.0081841 0.0079993 0.0080366 0.0067460 0.0070338 0.0075779 0.0082545 0.0074232 0.0075766 0.0073838 0.0073812 0.0074789 0.0077319 0.0074428 0.0083296 0.0082702 0.0085295 0.0084543 0.0078011 0.0081079 0.0079991 0.0080767 0.0082003 0.0083806 0.0073975 0.0072401 0.0082108
0.0444819 0.0550751 0.0436030 0.0312451 0.0229537 0.0155386 0.0162475 0.0295527 0.0097771 0.0076871 0.0093171 0.0091019 0.0200890 0.0082361 0.0073000 0.0096872 0.0083251 0.0096869 0.0084980 0.0151645 0.0079154 0.0074609 0.0104222 0.0082446 0.0078268 0.0091932 0.0096701 0.0134338 0.0147113 0.0137274 0.0088609 0.0088741 0.0094263 0.0143693 0.0138321 0.0137564 0.0084085 0.0076069 0.0085349 0.0073144 0.0092563 0.0074856 0.0074751 0.0075244 0.0076747 0.0075753 0.0073614 0.0131544 0.0080916 0.0082938 0.0084945 0.0080271 0.0137078 0.0082926 0.0088892 0.0091598 0.0095777 0.0092267 0.0091258 0.0094473 0.0082890 0.0083072 0.0084473 0.0078432 0.0084110 0.0137116 0.0084225 0.0080925 0.0081475 0.0079238 0.0074426 0.0075364 0.0077853 0.0074252 0.0072576 0.0073018 0.0074975 0.0075103 0.0072201 0.0077737 0.0073049 0.0069566 0.0074857 0.0074144 0.0076103 0.0074599 0.0074744 0.0073990 0.0078983 0.0076526
0.0752381 0.0423017 0.0474702 0.0225210 0.0228724 0.0144639 0.0163065 0.0242603 0.0095874 0.0080747 0.0098226 0.0116881 0.0127023 0.0082757 0.0070479 0.0077137 0.0116937 0.0142070 0.0116580 0.0185866 0.0075417 0.0077215 0.0072131 0.0076539 0.0073559 0.0098148 0.0077952 0.0098614 0.0144197 0.0098942 0.0092048 0.0098292 0.0094895 0.0098527 0.0100064 0.0096556 0.0080978 0.0072186 0.0068018 0.0070640 0.0068754 0.0077553 0.0071507 0.0069745 0.0071589 0.0067050 0.0074241 0.0094800 0.0116609 0.0115308 0.0116180 0.0117600 0.0095020 0.0116790 0.0096365 0.0093084 0.0095546 0.0091093 0.0092317 0.0092938 0.0118842 0.0116500 0.0113062 0.0115750 0.0116685 0.0101765 0.0118329 0.0065661 0.0067953 0.0065851 0.0071356 0.0073644 0.0072974 0.0071074 0.0071913 0.0073901 0.0072109 0.0071807 0.0071121 0.0069381 0.0070703 0.0071900 0.0069086 0.0074249 0.0070400 0.0070417 0.0072593 0.0071151 0.0074444 0.0071455
